gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_chembl_id	PMIDs
CDK7	CDK7	1022	CancerCommons	inhibitor	SNS-032	SNS-032	BMS-387032	CHEMBL296468	
ADORA2A	19	135	GuideToPharmacologyInteractions	antagonist	392	MRS1041	CHEMBL72862	CHEMBL72862	
PDGFRB	PDGFR	5159	ChemblInteractions	inhibitor	CHEMBL576982	QUIZARTINIB	QUIZARTINIB	CHEMBL576982	
MTOR	2109	2475	GuideToPharmacologyInteractions	inhibitor	9361	WYE-354	CHEMBL561708	CHEMBL561708	
OPRM1	319	4988	GuideToPharmacologyInteractions	agonist	3534	SUFENTANIL	SUFENTANIL	CHEMBL658	
PIK3R2	PIK3R2	5296	MyCancerGenome	inhibitor	PF-4691502	PF-4691502	PF-04691502	CHEMBL1234354	
SIGMAR1	TTDS00129	10280	TTD	binder	DCL000789	E-5842	CITRIC ACID	CHEMBL1261	
HRH4	265	59340	GuideToPharmacologyInteractions	antagonist	1220	[3H]PYRILAMINE			
FGFR1	1808	2260	GuideToPharmacologyInteractions	inhibitor	9039	ERDAFITINIB	JNJ-42756493	CHEMBL3545376	
IGF1R	1801	3480	GuideToPharmacologyInteractions	inhibitor	8067	NVP-AEW541	AEW-541	CHEMBL551064	
NOS2	1250	4843	GuideToPharmacologyInteractions	inhibitor	5102	1400W	1400W	CHEMBL107251	
F2R	CF2R	2149	ChemblInteractions	inhibitor	CHEMBL2013119	RIGOSERTIB SODIUM	RIGOSERTIB SODIUM	CHEMBL2013119	
CACNA1F	CACNAF1	778	ChemblInteractions	modulator	CHEMBL2103836	IMAGABALIN	IMAGABALIN	CHEMBL2103836	
HTR1A	1	3350	GuideToPharmacologyInteractions	agonist	16	"L-772,405"	CHEMBL313714	CHEMBL313714	
HDAC5	2660	10014	GuideToPharmacologyInteractions	inhibitor	7490	GIVINOSTAT	CHEMBL1213492	CHEMBL1213492	
AR	TTDS00115	367	TTD	inhibitor	DAP000569	SULINDAC			
GNRHR	256	2798	GuideToPharmacologyInteractions	antagonist	1187	[3H]NBI-49202	CHEMBL179691	CHEMBL179691	
SCN11A	SCN12A	11280	ChemblInteractions	blocker	CHEMBL3545209	NKTR-171	NKTR-171	CHEMBL3545209	
DRD4	DRD4	1815	ChemblInteractions	antagonist	CHEMBL1201155	LOXAPINE SUCCINATE	LOXAPINE SUCCINATE	CHEMBL1201155	
MTNR1B	288	4544	GuideToPharmacologyInteractions	agonist	7779	[125I]S70254			
DPP4	TTDS00093	1803	TTD	inhibitor	DCL001110	IDDBCP161883			
ADRA1B	23	147	GuideToPharmacologyInteractions	antagonist	499	WB 4101	CHEMBL25554	CHEMBL25554	
PTGER2	341	5732	GuideToPharmacologyInteractions	agonist	5852	MRE-269	CHEMBL239226	CHEMBL239226	
ALK	ALK	238	MyCancerGenome	inhibitor	ASP3026	ASP3026	ASP-3026	CHEMBL3545360	
MTTP	TTDC00123	4547	TTD	inhibitor	DCL000072	BMS-201038	LOMITAPIDE	CHEMBL354541	
TUBA3E	TUBA3E	112714	ChemblInteractions	inhibitor	CHEMBL107	COLCHICINE	COLCHICINE	CHEMBL107	
CACNA1I	TTDS00161	8911	TTD	modulator	DAP001264	PREGABALIN	PREGABALIN	CHEMBL1059	
SSTR4	358	6754	GuideToPharmacologyInteractions	agonist	2013	KE 108			
JAK2	JAK2	3717	MyCancerGenome	inhibitor	RUXOLITINIB	RUXOLITINIB	RUXOLITINIB	CHEMBL1789941	
PDE4C	DPDE1	5143	ChemblInteractions	inhibitor	CHEMBL1200434	OXTRIPHYLLINE	OXTRIPHYLLINE	CHEMBL1200434	
FLT1	FLT1	2321	MyCancerGenomeClinicalTrial	inhibitor	VANDETANIB	VANDETANIB	VANDETANIB	CHEMBL24828	
NOS1	1251	4842	GuideToPharmacologyInteractions	inhibitor	9147	COMPOUND 14J [PMID: 27050842]			
FPR1	222	2357	GuideToPharmacologyInteractions	antagonist	5830	DIAMIDE 7	CHEMBL1770298	CHEMBL1770298	
HDAC11	HDAC11	79885	ChemblInteractions	inhibitor	CHEMBL3545368	PANOBINOSTAT LACTATE	PANOBINOSTAT LACTATE	CHEMBL3545368	
MTNR1A	287	4543	GuideToPharmacologyInteractions	agonist	1356	RAMELTEON	RAMELTEON	CHEMBL1218	
TRPM3	495	80036	GuideToPharmacologyInteractions	channel blocker	2593	MEFENAMIC ACID	MEFENAMIC ACID	CHEMBL686	
DHFR	TTDS00208	1719	TTD	inhibitor	DAP001493	MCB-3837	PYRIMETHAMINE	CHEMBL36	
