gene	lung_mean_RNAi
A1BG	-0.035864886
NAT2	-0.057945602
ADA	-0.016565894
CDH2	0.048777714
AKT3	0.041903887
MED6	-0.305095136
NR2E3	-0.129734656
NAALAD2	0.096949928
DUXB	0.147705398
PDZK1P1	0.045263374
DDTL	0.193424668
NAALADL1	0.15339198
SIGLEC14	-0.16598395
ACOT8	-0.30216249
ABI1	-0.037005036
GNPDA1	0.02033693
KCNE3	-0.0749502
ZBTB33	-0.02751206
CDH3	0.039480983
TANK	-0.328509398
POM121C	-0.063699351
PMS2P7	0.076315395
TMEM170B	-0.443351691
EGOT	0.046036777
LOC100128076	0.064452814
CTAGE4	-0.003393362
CDC42P3	0.071023955
ZBTB42	-0.094986125
LOC100129055	0.00094246
FAM106CP	0.073780002
MSTO2P	0.021393201
LOC100129434	0.079247408
DPY19L1P1	-0.109983769
ZNF737	-0.08056527
HDAC6	-0.054518548
LOC100130075	0.15771365
LOC100130331	-1.738924815
PARD6G-AS1	-0.242412449
LOC100130691	0.01210152
LRRC70	0.103276168
LRRC69	-0.040423227
SBK3	-0.171275557
TSTD3	0.113746755
ZNF663P	0.113324469
C7orf72	-0.286282704
LOC100131257	0.327558111
RAB6C-AS1	-0.080888703
CD300LD	0.127792922
UBE2DNL	-0.065195061
LOC100132154	0.031325357
KIR2DS2	0.081055035
FAM157B	-0.088576914
FCGR1CP	0.121243587
PGAM1P5	0.134764459
DCAF13P3	-1.081889978
PMS2P9	0.112490567
RASA4DP	0.046104182
LOC100133920	0.138634894
CD24	-0.003113206
KCNJ18	0.14589899
UPK3BL1	0.583493381
JMJD7	-0.144862829
PLA2G4B	0.052978792
HDAC5	0.001519388
C17orf99	-0.058948466
CTAGE8	-0.004280912
KLLN	-0.248731908
PDCD6IP	-0.212158332
PDCD6	-0.105351708
BCL2L10	-0.097115003
SRRM5	-0.469109339
BCL2L11	-0.060380392
TOMM6	-0.169835187
SH2B3	0.005227501
C5orf52	-0.257850995
PPIAP30	-0.055821042
CDH4	-0.073940635
GNE	-0.156629417
HCN4	-0.024064736
INSL5	-0.049873652
FRAT1	-0.135141487
TROAP	-0.006531871
MED16	-0.078146893
PIGK	-0.057568181
ARHGEF33	-0.261004838
LIMS3-LOC440895	0.141788015
MEF2B	0.09266904
RASA4B	0.004469829
CMC4	-0.134136569
FAM86KP	0.192810376
LOC100287072	0.202607577
WASHC1	-0.016948699
POTEB2	0.056086847
ANKRD66	-0.400005491
LOC100287896	-0.091115956
TTC34	-0.131926693
NBPF20	-0.178598436
LOC100288778	0.040941278
FRG2C	-0.066316548
HYDIN2	-0.072449354
FRG1CP	-0.084372715
LOC100289561	0.147220392
ZNF605	-0.130506196
CDH5	-0.019040954
GPR75-ASB3	0.026521606
TMED7-TICAM2	-0.189309973
TSNAX-DISC1	0.178672113
NDUFAF4P1	0.021750248
GCSHP3	0.014763803
CHAF1A	-0.812352171
NPPA-AS1	0.013165098
PARP2	-0.049667964
PARP3	-0.016803196
CDH6	-0.015986473
TOM1L1	0.171454703
DBET	-0.115524423
HMGXB4	-0.110900639
TOM1	0.066116355
SH2D3C	-0.015527263
SH2D3A	-0.056358715
MAMLD1	-0.060445342
CST8	0.044819455
RANBP9	-0.03379639
DNAJB6	-0.043390058
CCDC180	-0.128612781
CDH7	0.120021109
SLC17A4	0.110219406
LINC01602	0.165902227
LOC100505534	0.110926582
SPATA1	0.152782612
LINC01549	0.137869734
PPP5D1	0.15582655
ARL17B	0.058895979
LOC100506127	-0.073737027
LOC100506248	-0.443844209
LOC100506422	0.003235726
OCLN	-0.068542991
SLFN12L	-0.079021988
SMLR1	-0.074768631
ERVK13-1	0.104880608
MICA	0.027911125
LOC100509620	0.14748796
SMC4	-1.048611748
TBC1D3J	-0.092342328
GJC1	-0.1006235
LY75-CD302	0.06801295
ARPC4-TTLL3	0.008653566
MSANTD3-TMEFF1	-0.077760316
RBM14-RBM4	0.184783975
ATP5J2-PTCD1	-0.34633084
ABHD14A-ACY1	0.042766786
CCDC169-SOHLH2	-0.161308235
RNF103-CHMP3	0.081720741
TMEM110-MUSTN1	-0.10078423
EPPIN-WFDC6	0.12657951
C15orf38-AP3S2	-0.003516254
NT5C1B-RDH14	0.195108179
INMT-MINDY4	0.06565888
SEPT5-GP1BB	0.025799727
FPGT-TNNI3K	-0.214643082
BLOC1S5-TXNDC5	-0.083580441
EEF1E1-BLOC1S5	0.018108824
TGIF2-C20orf24	-0.054058019
GIMAP1-GIMAP5	0.072531365
GJA9-MYCBP	-0.079855713
MROH7-TTC4	0.059729783
PMF1-BGLAP	-0.24338831
TMEM56-RWDD3	-0.058158757
BORCS7-ASMT	-0.083441009
TMX2-CTNND1	0.029887246
SAA2-SAA4	-0.086298257
ARL2-SNX15	-0.073639076
BLOC1S1-RDH5	-0.131140081
POC1B-GALNT4	0.026889133
KLRC4-KLRK1	0.138542238
ARMCX5-GPRASP2	0.090684009
NEDD8-MDP1	-0.173248891
BCL2L2-PABPN1	0.092755074
RPL36A-HNRNPH2	-0.035622485
CORO7-PAM16	0.088112548
RAD51L3-RFFL	-0.000259201
RPS10-NUDT3	-0.154778416
HSPE1-MOB4	0.194924366
CKLF-CMTM1	0.01413823
SYNJ2BP-COX16	-0.296399179
CHURC1-FNTB	-0.053598734
MIA-RAB4B	0.144364151
RAB4B-EGLN2	0.021424925
ZNF625-ZNF20	-0.093204618
AP1M2	-0.098427884
NPHP3-ACAD11	0.062085798
NDUFC2-KCTD14	-0.120396443
COMMD3-BMI1	0.114952731
MSH5-SAPCD1	-0.08594976
INO80B-WBP1	-0.153359746
ATP6V1G2-DDX39B	0.202242155
PIR-FIGF	0.006138565
PPT2-EGFL8	-0.008445491
C8orf44-SGK3	-0.274829102
RTEL1-TNFRSF6B	-0.073749126
ZNF670-ZNF695	0.125680318
UBE2F-SCLY	0.08672077
FXYD6-FXYD2	0.005643219
ARHGAP19-SLIT1	0.018186291
PRH1-PRR4	-0.009113416
