,cna_alk,cna_tp53,cna_egfr,cna_kras,cna_stk11,cna_keap1,rna_alk,rna_tp53,rna_egfr,rna_kras,rna_stk11,rna_keap1,prot_alk,prot_tp53,prot_egfr,prot_kras,prot_stk11,prot_keap1,phos_alk,phos_tp53,phos_egfr,phos_kras,phos_stk11,phos_keap1
ENSG00000000003.14,0.293161599,0.031063091,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000000005.5,0.293161599,0.031063091,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000000419.12,,0.297256913,0.537115355,,,0.33986036,,,,,,,,,,,,,,,,,,
ENSG00000000457.13,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000000460.16,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000000938.12,,,0.001834654,,,,,,,,,,,,,,,,,,,,,
ENSG00000000971.15,,,0.005411626,,,,,,,,,,,,,,,,,,,,,
ENSG00000001084.10,,0.013173105,0.124314923,,,,,,,,,,,,,,,,,,,,,
ENSG00000001167.14,,,0.336423684,,,,,,,,,,,,,,,,,,,,,
ENSG00000001460.17,,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000001461.16,,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000001497.16,0.228052613,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000001561.6,0.274501897,0.698217365,,,0.049670778,,,,,,,,,,,,,,,,,,,
ENSG00000001617.11,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000001626.14,,0.002119553,0.113079297,,,,,,,,,,,,,,,,,,,,,
ENSG00000001629.9,,0.000322916,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000001630.15,,0.000322916,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000001631.15,,0.000322916,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000002016.17,0.259165867,0.422234492,,,0.018700839,0.175069174,,,,,,,,,,,,,,,,,,
ENSG00000002330.13,0.251645978,,,,0.120127345,,,,,,,,,,,,,,,,,,,
ENSG00000002549.12,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000002587.9,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000002726.20,,0.004639878,,,,,,,,,,,,,,,,,,,,,,
ENSG00000002745.12,,0.013173105,0.124314923,,,,,,,,,,,,,,,,,,,,,
ENSG00000002746.14,0.202554506,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000002834.17,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000002919.14,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000002933.7,,0.004639878,,,,,,,,,,,,,,,,,,,,,,
ENSG00000003056.7,,,,,0.024998017,,,,,,,,,,,,,,,,,,,
ENSG00000003096.14,,0.000322916,0.00010662,,,,,,,,,,,,,,,,,,,,,
ENSG00000003137.8,,0.708154916,,0.348347669,0.120127345,0.33986036,,,,,,,,,,,,,,,,,,
ENSG00000003249.13,0.168209941,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000003400.14,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000003402.19,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000003436.15,,,0.482002842,0.295549325,0.140005705,,,,,,,,,,,,,,,,,,,
ENSG00000003509.15,,0.453464555,,0.078178141,0.008294861,0.329698174,,,,,,,,,,,,,,,,,,
ENSG00000003756.16,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000004059.10,0.293161599,0.031063091,0.113079297,,,,,,,,,,,,,,,,,,,,,
ENSG00000004139.13,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000004142.11,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000004399.12,0.251645978,0.208562717,,,,,,,,,,,,,,,,,,,,,,
ENSG00000004455.16,,,0.059799916,,,0.32698951,,,,,,,,,,,,,,,,,,
ENSG00000004468.12,,0.422234492,0.482002842,,,,,,,,,,,,,,,,,,,,,
ENSG00000004478.7,,,,,0.010038678,0.025444879,,,,,,,,,,,,,,,,,,
ENSG00000004487.15,,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000004534.14,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000004700.15,,,,,0.010038678,,,,,,,,,,,,,,,,,,,
ENSG00000004766.15,,0.001801276,0.137467013,,,,,,,,,,,,,,,,,,,,,
ENSG00000004776.12,,0.031063091,0.113079297,,0.402664231,0.068574498,,,,,,,,,,,,,,,,,,
ENSG00000004777.18,,0.031063091,0.113079297,,0.402664231,0.068574498,,,,,,,,,,,,,,,,,,
ENSG00000004779.9,0.013280392,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000004799.7,,0.000708171,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000004809.13,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000004838.13,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000004846.16,,0.031136029,0.336423684,,,,,,,,,,,,,,,,,,,,,
ENSG00000004848.7,0.228052613,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000004864.13,,0.000708171,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000004866.20,,0.002119553,0.113079297,,,,,,,,,,,,,,,,,,,,,
ENSG00000004897.11,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000004939.13,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000004948.13,,0.001801276,0.137467013,,,,,,,,,,,,,,,,,,,,,
ENSG00000004961.14,0.228052613,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000004975.11,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005001.9,0.013280392,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000005007.12,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005020.12,0.251645978,0.208562717,0.336423684,,,,,,,,,,,,,,,,,,,,,
ENSG00000005022.5,,0.000322916,0.00010662,,,,,,,,,,,,,,,,,,,,,
ENSG00000005059.15,0.005654202,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005073.5,0.251645978,0.208562717,0.336423684,,,,,,,,,,,,,,,,,,,,,
ENSG00000005075.15,,0.013173105,0.482002842,,,,,,,,,,,,,,,,,,,,,
ENSG00000005100.12,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005102.12,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005156.11,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005175.9,,0.297256913,,,0.0017411,0.014889635,,,,,,,,,,,,,,,,,,
ENSG00000005187.11,0.274501897,0.698217365,0.00734663,,,,,,,,,,,,,,,,,,,,,
ENSG00000005189.19,0.259165867,0.422234492,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000005194.14,0.168209941,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005206.16,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005238.19,,,0.137467013,,,,,,,,,,,,,,,,,,,,,
ENSG00000005243.9,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005249.12,0.293161599,0.031063091,0.113079297,,,,,,,,,,,,,,,,,,,,,
ENSG00000005302.17,0.013280392,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000005339.14,0.013280392,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000005421.8,,0.031136029,0.336423684,,,,,,,,,,,,,,,,,,,,,
ENSG00000005436.13,,0.297256913,,0.348347669,0.120127345,0.33986036,,,,,,,,,,,,,,,,,,
ENSG00000005448.16,,0.297256913,,0.348347669,0.120127345,0.33986036,,,,,,,,,,,,,,,,,,
ENSG00000005469.11,,0.000708171,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000005471.15,,0.000708171,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000005483.20,0.293161599,0.031063091,0.113079297,,,,,,,,,,,,,,,,,,,,,
ENSG00000005486.16,,0.208562717,,,,0.142653802,,,,,,,,,,,,,,,,,,
ENSG00000005513.9,0.019260707,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000005700.14,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005801.16,0.202554506,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005810.17,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005812.10,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005844.17,0.259165867,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000005882.11,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005884.17,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005889.15,0.228052613,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000005893.15,,0.000322916,0.00010662,,,,,,,,,,,,,,,,,,,,,
ENSG00000005961.17,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000005981.12,,0.000708171,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000006007.11,0.251645978,,0.008705683,,,,,,,,,,,,,,,,,,,,,
ENSG00000006015.17,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006016.10,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006025.11,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006042.11,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006047.12,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006059.3,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006062.14,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006071.12,0.259165867,,,,0.140005705,,,,,,,,,,,,,,,,,,,
ENSG00000006116.3,0.259165867,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000006118.14,0.202554506,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006125.17,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006128.11,,0.013173105,0.124314923,,,,,,,,,,,,,,,,,,,,,
ENSG00000006194.9,0.013280392,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000006210.6,0.228052613,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006282.20,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006283.17,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006327.13,0.013280392,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000006377.10,,0.000322916,0.124314923,,,,,,,,,,,,,,,,,,,,,
ENSG00000006432.15,0.321418854,0.708154916,,,0.120127345,,,,,,,,,,,,,,,,,,,
ENSG00000006451.7,0.251645978,0.208562717,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006453.13,,0.005231675,0.293873755,,,,,,,,,,,,,,,,,,,,,
ENSG00000006459.10,,0.013173105,0.482002842,,,,,,,,,,,,,,,,,,,,,
ENSG00000006530.15,,0.000154929,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000006534.15,0.352235344,0.483941361,,0.490936559,0.003469505,,,,,,,,,,,,,,,,,,,
ENSG00000006555.10,,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000006576.16,,0.043518531,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006606.8,,0.208562717,,,,0.142653802,,,,,,,,,,,,,,,,,,
ENSG00000006607.13,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006611.15,0.259165867,,,,0.140005705,,,,,,,,,,,,,,,,,,,
ENSG00000006634.7,,0.000708171,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000006638.11,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006652.13,,0.013173105,0.124314923,,,,,,,,,,,,,,,,,,,,,
ENSG00000006659.12,,0.257614575,0.293873755,,0.25077402,0.32698951,,,,,,,,,,,,,,,,,,
ENSG00000006695.10,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006704.10,,0.422234492,0.482002842,,,,,,,,,,,,,,,,,,,,,
ENSG00000006712.14,,0.422234492,0.482002842,,0.140005705,0.175069174,,,,,,,,,,,,,,,,,,
ENSG00000006715.15,0.251645978,0.208562717,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006756.15,0.228052613,,0.137467013,,,,,,,,,,,,,,,,,,,,,
ENSG00000006757.11,0.228052613,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000006831.9,,,,,0.004564986,0.10614403,,,,,,,,,,,,,,,,,,
ENSG00000006837.11,0.000375196,,0.124314923,,,,,,,,,,,,,,,,,,,,,
ENSG00000007001.12,,,0.137467013,,,,,,,,,,,,,,,,,,,,,
ENSG00000007038.10,0.013280392,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000007047.14,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000007062.11,,0.422234492,0.482002842,,,,,,,,,,,,,,,,,,,,,
ENSG00000007080.10,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000007129.17,,0.208562717,,0.212939261,0.010038678,,,,,,,,,,,,,,,,,,,
ENSG00000007171.16,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000007202.14,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000007216.14,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000007255.10,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000007264.14,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000007306.14,,,,,0.0017411,,,,,,,,,,,,,,,,,,,
ENSG00000007312.12,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000007314.12,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000007341.18,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000007350.16,,0.000708171,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000007372.21,0.259165867,,0.482002842,,,,,,,,,,,,,,,,,,,,,
ENSG00000007376.7,0.019260707,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000007384.15,0.009417886,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000007392.16,0.036335238,,0.113079297,,,,,,,,,,,,,,,,,,,,,
ENSG00000007402.11,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000007516.13,0.009417886,,0.137467013,,,,,,,,,,,,,,,,,,,,,
ENSG00000007520.3,0.009417886,,0.137467013,,,,,,,,,,,,,,,,,,,,,
ENSG00000007541.16,0.013280392,,0.336423684,,,,,,,,,,,,,,,,,,,,,
ENSG00000007545.15,0.013280392,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000007866.19,,0.422234492,0.482002842,,0.018700839,0.175069174,,,,,,,,,,,,,,,,,,
ENSG00000007908.15,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000007923.15,,,0.293873755,,,0.32698951,,,,,,,,,,,,,,,,,,
ENSG00000007933.12,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000007944.14,,0.208562717,,,0.120127345,,,,,,,,,,,,,,,,,,,
ENSG00000007952.17,0.293161599,0.031063091,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000007968.6,,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000008018.8,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000008056.13,0.259165867,0.422234492,0.001834654,,,,,,,,,,,,,,,,,,,,,
ENSG00000008083.13,,0.110850627,,0.295549325,0.140005705,,,,,,,,,,,,,,,,,,,
ENSG00000008086.11,0.019260707,0.422234492,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000008118.9,,,0.000385575,,,,,,,,,,,,,,,,,,,,,
ENSG00000008128.22,,,0.080359878,,,0.755045014,,,,,,,,,,,,,,,,,,
ENSG00000008130.15,,,0.053507078,,,0.53182132,,,,,,,,,,,,,,,,,,
ENSG00000008196.12,,0.051087789,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000008197.4,,0.110850627,0.124314923,,,,,,,,,,,,,,,,,,,,,
ENSG00000008226.19,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000008277.14,,0.000708171,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000008282.8,0.293161599,0.031063091,0.113079297,,,,,,,,,,,,,,,,,,,,,
ENSG00000008283.15,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000008294.20,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000008300.16,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000008311.14,,0.013173105,0.124314923,,,,,,,,,,,,,,,,,,,,,
ENSG00000008323.15,,,,,0.004564986,0.10614403,,,,,,,,,,,,,,,,,,
ENSG00000008324.11,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000008382.15,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000008394.12,,,,,0.010038678,,,,,,,,,,,,,,,,,,,
ENSG00000008405.11,,,,0.078178141,2.19E-05,,,,,,,,,,,,,,,,,,,
ENSG00000008438.4,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000008441.16,0.112866872,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000008513.14,,,0.537115355,,,0.073489933,,,,,,,,,,,,,,,,,,
ENSG00000008516.16,0.013280392,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000008517.16,0.013280392,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000008710.19,0.013280392,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000008735.13,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000008838.19,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000008869.11,,0.453464555,,0.078178141,0.008294861,0.329698174,,,,,,,,,,,,,,,,,,
ENSG00000008952.16,,0.110850627,,,0.018700839,,,,,,,,,,,,,,,,,,,
ENSG00000008988.9,,0.003402571,,0.295549325,0.00505046,0.32698951,,,,,,,,,,,,,,,,,,
ENSG00000009307.15,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000009335.17,0.259165867,0.013173105,0.482002842,,,,,,,,,,,,,,,,,,,,,
ENSG00000009413.15,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000009694.13,,0.013173105,0.00010662,,,,,,,,,,,,,,,,,,,,,
ENSG00000009709.11,,,0.001834654,,,,,,,,,,,,,,,,,,,,,
ENSG00000009724.16,,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000009780.15,,,0.001834654,,,,,,,,,,,,,,,,,,,,,
ENSG00000009790.14,,,0.000385575,,,,,,,,,,,,,,,,,,,,,
ENSG00000009830.11,0.321418854,0.297256913,0.537115355,,0.120127345,,,,,,,,,,,,,,,,,,,
ENSG00000009950.15,,0.156644928,0.113079297,,,,,,,,,,,,,,,,,,,,,
ENSG00000009954.10,,0.156644928,0.113079297,,,,,,,,,,,,,,,,,,,,,
ENSG00000010017.12,,0.257614575,0.64298606,0.521827038,0.25077402,,,,,,,,,,,,,,,,,,,
ENSG00000010030.13,,,0.482002842,,0.018700839,0.175069174,,,,,,,,,,,,,,,,,,
ENSG00000010072.15,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000010165.19,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000010219.13,,,,,0.004564986,0.014889635,,,,,,,,,,,,,,,,,,
ENSG00000010244.18,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000010256.10,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000010270.13,0.251645978,0.208562717,,,,,,,,,,,,,,,,,,,,,,
ENSG00000010278.12,,,,,0.004564986,0.10614403,,,,,,,,,,,,,,,,,,
ENSG00000010282.14,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000010292.12,,,,,0.010038678,0.142653802,,,,,,,,,,,,,,,,,,
ENSG00000010295.19,,0.422234492,0.482002842,,0.018700839,0.043711964,,,,,,,,,,,,,,,,,,
ENSG00000010310.8,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000010318.20,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000010319.6,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000010322.15,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000010327.10,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000010361.13,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000010379.15,0.274501897,0.257614575,,,0.25077402,,,,,,,,,,,,,,,,,,,
ENSG00000010404.17,,0.051087789,0.00734663,,,,,,,,,,,,,,,,,,,,,
ENSG00000010438.16,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000010539.11,0.013280392,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000010610.9,,0.422234492,0.482002842,,0.018700839,0.043711964,,,,,,,,,,,,,,,,,,
ENSG00000010626.14,,0.257614575,0.293873755,,0.049670778,0.061621446,,,,,,,,,,,,,,,,,,
ENSG00000010671.15,,0.013173105,0.00010662,,,,,,,,,,,,,,,,,,,,,
ENSG00000010704.18,,0.110850627,0.482002842,,,,,,,,,,,,,,,,,,,,,
ENSG00000010803.16,,,0.020077311,,,0.522257742,,,,,,,,,,,,,,,,,,
ENSG00000010810.17,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000010932.16,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000011007.12,,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000011009.10,,,0.02449942,,,,,,,,,,,,,,,,,,,,,
ENSG00000011021.21,,,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000011028.13,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000011083.8,0.002601778,,0.020077311,,,,,,,,,,,,,,,,,,,,,
ENSG00000011105.12,,,,,0.010038678,0.025444879,,,,,,,,,,,,,,,,,,
ENSG00000011114.14,0.274501897,0.257614575,0.64298606,,0.049670778,,,,,,,,,,,,,,,,,,,
ENSG00000011132.11,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000011198.7,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000011201.11,0.251645978,0.208562717,0.059799916,,,,,,,,,,,,,,,,,,,,,
ENSG00000011243.17,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000011258.15,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000011260.13,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000011304.19,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000011332.19,,0.110850627,0.482002842,,,0.175069174,,,,,,,,,,,,,,,,,,
ENSG00000011347.9,0.202554506,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000011376.9,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000011405.13,0.259165867,,,,0.140005705,,,,,,,,,,,,,,,,,,,
ENSG00000011422.11,,0.208562717,,,0.010038678,0.142653802,,,,,,,,,,,,,,,,,,
ENSG00000011426.10,0.259165867,0.110850627,0.482002842,,,,,,,,,,,,,,,,,,,,,
ENSG00000011451.17,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000011465.16,,,,0.113356145,8.37E-05,,,,,,,,,,,,,,,,,,,
ENSG00000011478.11,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000011485.14,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000011523.13,,1,,0.271356354,0.063361598,0.329698174,,,,,,,,,,,,,,,,,,
ENSG00000011566.14,,0.708154916,,0.113356145,0.013348311,0.33986036,,,,,,,,,,,,,,,,,,
ENSG00000011590.13,,0.031063091,0.113079297,,0.402664231,0.068574498,,,,,,,,,,,,,,,,,,
