gene	lung_mean_CRISPR
A1BG	0.101819777
NAT2	0.105497618
ADA	0.066242968
CDH2	-0.090023165
AKT3	0.110835089
MED6	-1.101532685
NR2E3	
NAALAD2	0.064559408
DUXB	
PDZK1P1	
DDTL	-0.136451371
NAALADL1	-0.224049685
SIGLEC14	-0.488191283
ACOT8	-0.05414396
ABI1	-0.018903318
GNPDA1	0.067196604
KCNE3	0.021279129
ZBTB33	
CDH3	0.0063584
TANK	-0.25595366
POM121C	-0.277662319
PMS2P7	
TMEM170B	0.066178705
EGOT	
LOC100128076	
CTAGE4	0.233419606
CDC42P3	
ZBTB42	-0.024078377
LOC100129055	
FAM106CP	
MSTO2P	
LOC100129434	
DPY19L1P1	
ZNF737	-0.113718226
HDAC6	
LOC100130075	
LOC100130331	
PARD6G-AS1	
LOC100130691	
LRRC70	0.220505495
LRRC69	
SBK3	
TSTD3	
ZNF663P	
C7orf72	0.062532601
LOC100131257	
RAB6C-AS1	
CD300LD	0.066650975
UBE2DNL	
LOC100132154	
KIR2DS2	
FAM157B	
FCGR1CP	
PGAM1P5	
DCAF13P3	
PMS2P9	
RASA4DP	
LOC100133920	
CD24	
KCNJ18	
UPK3BL1	
JMJD7	-0.064941813
PLA2G4B	-0.010379752
HDAC5	-0.093685739
C17orf99	-0.094452951
CTAGE8	
KLLN	-0.179832224
PDCD6IP	-0.571611091
PDCD6	-0.608569032
BCL2L10	-0.071392553
SRRM5	0.004819564
BCL2L11	-0.076663472
TOMM6	-0.136096603
SH2B3	0.079735839
C5orf52	0.063666118
PPIAP30	
CDH4	-0.012953917
GNE	0.008625427
HCN4	0.056109981
INSL5	0.015791102
FRAT1	-0.185740222
TROAP	-0.318572435
MED16	-0.220935723
PIGK	0.06821177
ARHGEF33	-0.150852124
LIMS3-LOC440895	
MEF2B	-0.185500017
RASA4B	0.036619087
CMC4	
FAM86KP	
LOC100287072	
WASHC1	
POTEB2	
ANKRD66	0.038799267
LOC100287896	
TTC34	0.152717688
NBPF20	
LOC100288778	
FRG2C	-0.366894473
HYDIN2	
FRG1CP	
LOC100289561	
ZNF605	0.061416766
CDH5	-0.383605663
GPR75-ASB3	
TMED7-TICAM2	
TSNAX-DISC1	
NDUFAF4P1	
GCSHP3	
CHAF1A	-1.274481689
NPPA-AS1	
PARP2	0.05669283
PARP3	-0.148147
CDH6	0.023492985
TOM1L1	-0.066929851
DBET	
HMGXB4	-0.052709423
TOM1	-0.151880607
SH2D3C	-0.040586197
SH2D3A	0.054044988
MAMLD1	
CST8	0.041314081
RANBP9	-0.12080142
DNAJB6	-0.398735737
CCDC180	-0.281714954
CDH7	0.009778679
SLC17A4	-0.058488103
LINC01602	
LOC100505534	
SPATA1	
LINC01549	
PPP5D1	
ARL17B	
LOC100506127	
LOC100506248	
LOC100506422	
OCLN	-0.093581677
SLFN12L	-0.052449228
SMLR1	0.012197223
ERVK13-1	
MICA	0.070343342
LOC100509620	
SMC4	-1.247319188
TBC1D3J	
GJC1	-0.179685586
LY75-CD302	
ARPC4-TTLL3	
MSANTD3-TMEFF1	
RBM14-RBM4	
ATP5J2-PTCD1	
ABHD14A-ACY1	
CCDC169-SOHLH2	
RNF103-CHMP3	
TMEM110-MUSTN1	
EPPIN-WFDC6	
C15orf38-AP3S2	
NT5C1B-RDH14	
INMT-MINDY4	
SEPT5-GP1BB	
FPGT-TNNI3K	
BLOC1S5-TXNDC5	
EEF1E1-BLOC1S5	
TGIF2-C20orf24	
GIMAP1-GIMAP5	
GJA9-MYCBP	
MROH7-TTC4	
PMF1-BGLAP	
TMEM56-RWDD3	
BORCS7-ASMT	
TMX2-CTNND1	
SAA2-SAA4	
ARL2-SNX15	
BLOC1S1-RDH5	
POC1B-GALNT4	
KLRC4-KLRK1	
ARMCX5-GPRASP2	
NEDD8-MDP1	
BCL2L2-PABPN1	
RPL36A-HNRNPH2	
CORO7-PAM16	
RAD51L3-RFFL	
RPS10-NUDT3	
HSPE1-MOB4	
CKLF-CMTM1	
SYNJ2BP-COX16	
CHURC1-FNTB	
MIA-RAB4B	
RAB4B-EGLN2	
ZNF625-ZNF20	
AP1M2	-0.115954514
NPHP3-ACAD11	
NDUFC2-KCTD14	
COMMD3-BMI1	
MSH5-SAPCD1	
INO80B-WBP1	
ATP6V1G2-DDX39B	
PIR-FIGF	
PPT2-EGFL8	
C8orf44-SGK3	
RTEL1-TNFRSF6B	
ZNF670-ZNF695	
UBE2F-SCLY	
FXYD6-FXYD2	
ARHGAP19-SLIT1	
PRH1-PRR4	
BIVM-ERCC5	
DNAAF4-CCPG1	
TVP23C-CDRT4	
SENP3-EIF4A1	
P2RX5-TAX1BP3	
SLMO2-ATP5E	
APOC4-APOC2	
TNFAIP8L2-SCNM1	
HOXA10-HOXA9	
URGCP-MRPS24	
STX16-NPEPL1	
HNRNPUL2-BSCL2	
ISY1-RAB43	
TM4SF19-TCTEX1D2	
C1QTNF3-AMACR	
UBA2	-1.221381311
SAE1	-1.484220651
